,,0,1
"(30.2890833, -91.2342744)","(39.1670396, -86.5342881)",12 hours 5 mins,834.375
"(30.2890833, -91.2342744)","(39.4667025, -87.4139119)",11 hours 28 mins,788.75
"(30.2890833, -91.2342744)","(42.6829765, -89.0226793)",14 hours 29 mins,1003.75
"(30.2890833, -91.2342744)","(42.7755645, -88.943999)",14 hours 36 mins,1010.0
"(30.2890833, -91.2342744)","(43.0349931, -87.922497)",14 hours 50 mins,1023.75
"(30.2890833, -91.2342744)","(44.0206919, -88.5408574)",16 hours 6 mins,1106.875
"(30.3321838, -81.655651)","(43.3177776, -88.378857)",17 hours 31 mins,1200.625
"(30.3538043, -91.2653865)","(39.4667025, -87.4139119)",11 hours 21 mins,783.75
"(30.417461, -81.5992609)","(43.2286174, -88.1103691)",17 hours 24 mins,1193.125
"(30.421309, -87.2169149)","(30.421309, -87.2169149)",1 min,0.625
"(30.421309, -87.2169149)","(30.5798041, -87.3928984)",22 mins,19.125
"(30.421309, -87.2169149)","(30.605427, -87.344442)",23 mins,19.375
"(30.4459596, -91.18738)","(34.1423179, -86.2894244)",6 hours 56 mins,460.0
"(30.4459596, -91.18738)","(36.3466619, -119.4204921)",1 day 4 hours,1957.5
"(30.4459596, -91.18738)","(42.7755645, -88.943999)",14 hours 20 mins,997.5
"(30.4459596, -91.18738)","(43.8424502, -88.8372972)",15 hours 48 mins,1080.625
"(30.4459596, -91.18738)","(47.920575, -104.0310439)",1 day 3 hours,1785.625
"(30.4514623, -91.3261882)","(35.6385545, -99.0001085)",10 hours 26 mins,733.125
"(30.4868564, -90.9562125)","(43.0349931, -87.922497)",14 hours 24 mins,985.0
"(30.5067571, -90.7103144)","(42.6829765, -89.0226793)",13 hours 48 mins,953.125
"(30.5254797, -91.0899217)","(35.6385545, -99.0001085)",10 hours 37 mins,731.25
"(30.5289042, -83.9213222)","(43.165548, -89.9129013)",17 hours 12 mins,1156.875
"(30.5798041, -87.3928984)","(27.5199841, -99.4953764)",12 hours 25 mins,835.625
"(30.5798041, -87.3928984)","(28.01806015, -82.11848199)",6 hours 50 mins,489.375
"(30.5798041, -87.3928984)","(28.5421109, -81.3790304)",6 hours 29 mins,460.0
"(30.5798041, -87.3928984)","(29.7589382, -95.3676974)",7 hours 32 mins,521.875
"(30.5798041, -87.3928984)","(29.7789913, -96.1568381)",8 hours 18 mins,570.625
"(30.5798041, -87.3928984)","(30.5798041, -87.3928984)",1 min,0.625
"(30.5798041, -87.3928984)","(30.6943566, -88.0430541)",51 mins,52.68749999999999
"(30.5798041, -87.3928984)","(30.7104358, -87.397017)",17 mins,12.437499999999998
"(30.5798041, -87.3928984)","(31.1432328, -90.4587081)",3 hours 42 mins,258.125
"(30.5798041, -87.3928984)","(31.9729271, -87.5224982)",2 hours 28 mins,127.5
"(30.5798041, -87.3928984)","(32.0809263, -81.0911768)",7 hours 7 mins,504.375
"(30.5798041, -87.3928984)","(32.1143715, -81.1540013)",7 hours 6 mins,505.625
"(30.5798041, -87.3928984)","(32.2990384, -90.1847691)",4 hours 3 mins,241.25
"(30.5798041, -87.3928984)","(32.3669656, -86.3006485)",2 hours 22 mins,153.75
"(30.5798041, -87.3928984)","(32.5140295, -84.8704861)",3 hours 53 mins,251.875
"(30.5798041, -87.3928984)","(32.9537349, -96.8902816)",10 hours 2 mins,656.25
"(30.5798041, -87.3928984)","(33.2467807, -84.2640904)",4 hours 43 mins,301.25
"(30.5798041, -87.3928984)","(33.6220542, -84.3690918)",4 hours 36 mins,310.0
"(30.5798041, -87.3928984)","(33.688923, -84.3600098)",4 hours 39 mins,313.125
"(30.5798041, -87.3928984)","(33.98390015, -81.22601083)",7 hours 26 mins,511.875
"(30.5798041, -87.3928984)","(34.5425325, -86.90905581)",4 hours 41 mins,316.875
"(30.5798041, -87.3928984)","(34.6689794, -87.3094649)",5 hours 9 mins,338.75
"(30.5798041, -87.3928984)","(34.7736807, -86.5675095)",5 hours 7 mins,345.625
"(30.5798041, -87.3928984)","(34.9617605, -89.8295315)",6 hours 22 mins,415.0
"(30.5798041, -87.3928984)","(35.1595182, -84.8766115)",6 hours 7 mins,415.625
"(30.5798041, -87.3928984)","(35.2072185, -101.8338246)",15 hours 11 mins,1006.875
"(30.5798041, -87.3928984)","(35.2784173, -93.1337856)",9 hours 18 mins,575.0
"(30.5798041, -87.3928984)","(35.3872218, -94.4248983)",10 hours 30 mins,657.5
"(30.5798041, -87.3928984)","(35.6630887, -81.2219363)",8 hours 29 mins,566.875
"(30.5798041, -87.3928984)","(35.7826363, -80.8872959)",8 hours 50 mins,595.0
"(30.5798041, -87.3928984)","(36.1500934, -83.2829452)",7 hours 52 mins,539.375
"(30.5798041, -87.3928984)","(37.0774652, -85.3351955)",8 hours 8 mins,563.125
"(30.5798041, -87.3928984)","(37.6390972, -120.9968782)",1 day 10 hours,2301.875
"(30.5798041, -87.3928984)","(38.5200504, -89.9839935)",10 hours 38 mins,731.875
"(30.5798041, -87.3928984)","(38.5493603, -90.4912719)",10 hours 48 mins,698.125
"(30.5798041, -87.3928984)","(38.6268039, -90.1994097)",10 hours 44 mins,743.75
"(30.5798041, -87.3928984)","(39.100105, -94.5781416)",13 hours 57 mins,896.25
"(30.5798041, -87.3928984)","(39.1134562, -94.626497)",14 hours 1 min,899.375
"(30.5798041, -87.3928984)","(39.3999835, -107.1519944)",1 day 0 hours,1608.75
"(30.5798041, -87.3928984)","(39.7439398, -84.6364891)",11 hours 21 mins,765.0
"(30.5798041, -87.3928984)","(40.03813, -76.3056686)",15 hours 51 mins,1075.0
"(30.5798041, -87.3928984)","(40.3933956, -82.4857181)",12 hours 44 mins,866.875
"(30.5798041, -87.3928984)","(40.7968393, -76.4131097)",16 hours 5 mins,1095.625
"(30.5798041, -87.3928984)","(40.7991766, -81.9383187)",13 hours 15 mins,909.375
"(30.5798041, -87.3928984)","(40.9586956, -75.9960371)",16 hours 19 mins,1115.0
